Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2021-04-10,59295.950044014,58149.6505908122,61065.2226248324,57924.0752636046
BTC,2021-04-11,59822.9016774304,59765.1038183476,60588.4719725509,59229.8601057682
BTC,2021-04-12,59853.1972422704,59998.1599130997,61219.7186131498,59428.2147494889
BTC,2021-04-13,63223.8843907858,59841.5613729139,63707.342359208,59799.4405780877
BTC,2021-04-14,62926.5571759009,63562.6735446382,64801.787869525,61400.2839683111
BTC,2021-04-15,63346.7890351052,62987.2701787333,63850.2507346948,62094.6329143272
BTC,2021-04-16,61965.7825980957,63225.0939171782,63520.3253743417,60033.5346667838
BTC,2021-04-17,60574.4447282273,61444.2325029806,62534.0284980254,59802.8892670907
BTC,2021-04-18,56850.8301656893,60191.5254059278,60531.9888482489,52148.9835438328
BTC,2021-04-19,56224.1015877117,56335.3891413899,57609.3681180061,54449.2453296336
BTC,2021-04-20,56608.7697483925,55723.2272628006,57121.9439016309,53442.8516601945
BTC,2021-04-21,54144.4274760563,56508.1512444248,56809.1463930716,53913.850515382
BTC,2021-04-22,51965.0595594061,53830.8238641807,55471.076371955,50500.7318617182
BTC,2021-04-23,50669.1443821756,51714.0739702794,52111.1850681793,47467.9120320183
BTC,2021-04-24,50733.7695036374,51217.1723295026,51253.4429476246,48932.1588139391
BTC,2021-04-25,48542.9522029844,50177.2374032254,50668.6590249368,47105.5930680066
BTC,2021-04-26,53558.7078446195,49139.2309545102,54398.5927883666,48854.5813736666
BTC,2021-04-27,55123.8619814166,54059.4740685049,55398.0741517103,53351.1153983396
BTC,2021-04-28,54591.5153255436,55086.9387053242,56458.6358118116,53915.3548335028
BTC,2021-04-29,53260.2953411529,54893.8716690807,55224.9079561952,52403.7436077167
BTC,2021-04-30,57302.6464240813,53598.8795025724,57434.9331269941,53097.7627943494
BTC,2021-05-01,57677.9752218988,57741.0209101257,58511.2560485114,57062.7000705128
BTC,2021-05-02,56427.0431250152,57824.3001866402,57925.7415674161,56123.0395077865
BTC,2021-05-03,57255.3068375553,56639.4397864873,59001.3596421217,56508.2404487566
BTC,2021-05-04,53658.8431208163,57218.8053294413,57246.8911912062,53613.5952176663
BTC,2021-05-05,57252.7021845011,53270.2291184826,57977.6134230368,52987.1586596765
BTC,2021-05-06,56583.8498791665,57459.0521750001,58368.6820919958,55330.7278628212
BTC,2021-05-07,57107.1206718864,56439.1333994272,58724.1107779691,55320.9581179986
BTC,2021-05-08,58788.2096789273,57419.1478883675,59575.4631145794,57028.4980485871
BTC,2021-05-09,58102.1914262342,58966.9150095429,59249.141676133,56494.9153343839
BTC,2021-05-10,55715.5466512869,58308.3180483295,59560.0254591057,53774.6282425192
BTC,2021-05-11,56573.5554719043,55899.7529711018,56956.075029342,54571.6932097661
BTC,2021-05-12,52147.8211869823,56767.7110629927,58036.5097771205,51625.5478489667
BTC,2021-05-13,49764.1320815975,49596.7788914698,51448.7985760232,46294.7201795113
BTC,2021-05-14,50032.6931367648,49717.3543531654,51578.3125446899,48944.3465360214
BTC,2021-05-15,47885.6252547166,49926.035067459,50690.8029495356,47005.1022924768
BTC,2021-05-16,45604.6157536131,46805.5378519185,49670.4141738148,43868.6389692715
BTC,2021-05-17,43144.4712908603,46439.3365698047,46622.8534374849,42102.3464296188
BTC,2021-05-18,43196.046480024,43559.5975614133,45850.2316654333,42469.9755696815
BTC,2021-05-19,39439.2376354523,42920.7488592961,43604.5695856053,30201.9573168187
BTC,2021-05-20,39756.0898485374,36795.4229843734,42589.8639646786,35670.9483794508
BTC,2021-05-21,36921.767807956,40685.32513842,42278.0051781578,33594.9588994537
BTC,2021-05-22,37490.9418875959,37359.7820135881,38889.8596935707,35304.227598414
BTC,2021-05-23,34259.5484158699,37521.8907695631,38267.2992786252,31179.6903617347
BTC,2021-05-24,38085.7893606212,34737.6280184542,39966.8764703305,34485.4310416469
BTC,2021-05-25,38290.4485281751,38888.3195311359,39855.1163404691,36498.6395293232
BTC,2021-05-26,38915.0048285955,38381.7360223173,40894.4367678487,37857.4997854786
BTC,2021-05-27,38717.7692199163,39307.5438855912,40430.2137318985,37233.6932421942
BTC,2021-05-28,34898.0087195578,38562.138317328,38899.1654018358,34741.9580682158
BTC,2021-05-29,34535.5224675641,35698.9527828453,37320.4820161704,33701.8006421148
BTC,2021-05-30,35749.6556921411,34658.1924438608,36522.2115295287,33488.4647461263
BTC,2021-05-31,36929.476739811,35678.4438902425,37485.6984913139,34221.8483264763
BTC,2021-06-01,36419.749500682,37271.3912190469,37818.4781925202,35715.7449960728
BTC,2021-06-02,37422.5714552122,36686.4694662882,38214.7924582884,35936.2828270948
BTC,2021-06-03,38958.4927796292,37578.3365316526,39473.2974301865,37209.1985209549
BTC,2021-06-04,37190.1013513708,39247.4951573902,39287.3129485423,35593.7925663598
BTC,2021-06-05,34981.3806930972,36879.6060788227,37956.2644327046,34873.638103149
BTC,2021-06-06,35335.6791986413,35560.4818341986,36492.4470628464,35281.5631782537
BTC,2021-06-07,34016.5653405018,35817.5127961567,36782.0879378371,33629.66401685
BTC,2021-06-08,33504.2566126633,33597.6867272064,34080.4204647756,31035.4945754027
BTC,2021-06-09,37127.1897203816,33412.7168219225,37332.4514436064,32437.0914575403
BTC,2021-06-10,36715.04710304,37403.603971667,38461.2507399427,35827.5061764843
BTC,2021-06-11,37341.5894340145,36695.0813140332,37587.3985526293,35982.3303753942
BTC,2021-06-12,35655.1644510507,37339.0002352444,37459.9602847604,34682.010431377
BTC,2021-06-13,38894.5562650593,35568.3187584354,39295.8486585453,34822.5800492505
BTC,2021-06-14,40162.3200731352,39016.5282569684,41046.7695234004,38750.0131548551
BTC,2021-06-15,40173.1950493749,40530.7846698569,41316.6024977708,39554.2866120893
BTC,2021-06-16,38557.4792131489,40162.3407980077,40484.5042466126,38417.8669650103
BTC,2021-06-17,37722.0201846323,38352.4382258668,39535.5838808787,37403.4038894073
BTC,2021-06-18,35520.4510340379,38099.7805946083,38208.8562505885,35226.0959591553
BTC,2021-06-19,35656.3047370809,35856.8152169807,36474.0332676665,34968.0123204383
BTC,2021-06-20,35681.1339563608,35516.4450662357,36119.7997385886,33380.5770288926
BTC,2021-06-21,31659.5417297556,35602.053016613,35736.7081130471,31531.9065610846
BTC,2021-06-22,32404.3303562163,31614.5503881769,33247.7890290509,29031.3144811218
BTC,2021-06-23,33532.2578458143,32532.7726386808,34790.3326082982,31741.6839644732
BTC,2021-06-24,34718.4749293386,33686.3420076016,35267.1113108781,32348.2846677202
BTC,2021-06-25,31622.0893153533,34658.3179242245,35484.4178871667,31514.8306118169
BTC,2021-06-26,31739.2902105947,31599.0614311661,32706.0705687874,30190.7335526165
BTC,2021-06-27,34213.0127375045,32290.2537721553,34313.4102243312,32006.6118486942
BTC,2021-06-28,34365.1857826949,34698.8633887955,35188.4361875865,33911.9514368267
BTC,2021-06-29,35945.7868568673,34488.5182453495,36609.362895147,34240.0124680045
BTC,2021-06-30,34855.6445146116,35905.0168600654,36091.7807025666,34057.7461385318
BTC,2021-07-01,33533.501912144,35049.0454840254,35056.8172220002,32734.2195681135
BTC,2021-07-02,33526.8533346477,33515.9495898483,33960.004151075,32719.0756749788
BTC,2021-07-03,34404.9270592463,33795.9463067416,34891.3965416112,33397.8076426455
BTC,2021-07-04,35601.8654730442,34667.9318424231,35888.7440285824,34373.7584420094
BTC,2021-07-05,34096.8942798999,35276.6222269652,35279.6941963792,33158.6554256816
BTC,2021-07-06,34047.5476174538,33699.5019213361,35030.9414935611,33556.2905346579
BTC,2021-07-07,34206.4945283022,34218.2591132325,35053.0063604653,33954.79802743
BTC,2021-07-08,32579.6678801167,33880.2232545258,33939.9455544934,32114.7845286628
BTC,2021-07-09,33994.6769889245,32876.2574467303,34090.2887187718,32287.150413548
BTC,2021-07-10,33543.7018359338,33815.207168225,34253.5933193814,33042.7428738007
BTC,2021-07-11,34382.6506905734,33514.1835995432,34595.1892415131,33338.994257889
BTC,2021-07-12,33032.377732484,34252.2047813058,34653.2263643203,32654.4819604071
BTC,2021-07-13,32544.8449079965,33088.1257671422,33334.1030322926,32206.6005169053
BTC,2021-07-14,33003.8129221625,32724.8562097755,33104.1544002961,31620.1504435744
BTC,2021-07-15,31783.1713494959,32830.9201260971,33182.0276570909,31189.5542418398
BTC,2021-07-16,31596.2943832539,31875.3199383907,32243.6812073993,31093.2474333631
BTC,2021-07-17,31640.9181268351,31396.4450538449,31914.7139747382,31186.8915322806
BTC,2021-07-18,31537.8051899688,31528.0036275779,32433.2256700084,31150.4139789779
BTC,2021-07-19,30940.287284016,31785.8406493683,31875.6397980443,30426.8822455801
BTC,2021-07-20,29608.5972534683,30843.8971081416,31053.3881500143,29306.7686279999
BTC,2021-07-21,32014.4360338924,29807.0245539138,32815.7419690664,29514.5161726624
BTC,2021-07-22,32203.365637698,32149.2575795091,32607.2831137453,31747.9338665183
BTC,2021-07-23,33117.7514622222,32302.6760754963,33266.7904439476,32022.5648806104
BTC,2021-07-24,34014.618359001,33638.8598147659,34527.2651014503,33416.0950945573
BTC,2021-07-25,34574.6706609269,34287.6091372423,34828.9330886011,33890.0320269064
BTC,2021-07-26,37114.296623684,35401.61956523,40539.3905201322,35240.9769494184
BTC,2021-07-27,38963.9228573588,37252.5136864979,38967.7362487773,36419.3870594028
BTC,2021-07-28,39917.4493693983,39486.1357411799,40906.3422426994,38837.9973323033
BTC,2021-07-29,39810.5179710787,40032.9500054981,40552.3306658994,39305.9868953977
BTC,2021-07-30,41157.1548333704,40039.9736965377,41467.5477656175,38349.2238022257
BTC,2021-07-31,41869.5525073286,42189.6900369853,42351.9336825719,41060.2588600383
BTC,2021-08-01,40263.3447558017,41461.8165844037,42435.0714060227,40145.5425164576
BTC,2021-08-02,39412.7164694588,39890.0637713967,40459.9144574015,38747.5185482001
BTC,2021-08-03,38368.1740116807,39171.264859273,39703.9056042937,37695.0934237293
BTC,2021-08-04,39831.0439131361,38212.1136027538,39965.4005102256,37688.6138217054
BTC,2021-08-05,40902.4755758971,39733.5647964275,41377.5651261135,37702.9960580392
BTC,2021-08-06,42608.5449779186,40874.2305491572,43170.5284782404,39907.5797681357
BTC,2021-08-07,44095.7444936184,42826.8397641563,44587.6299159856,42494.5029895606
BTC,2021-08-08,44294.3073003631,44581.3376974011,45303.6558284637,43280.6790924925
BTC,2021-08-09,45990.9100659209,43803.2029918785,46426.6967483776,42814.0069806161
BTC,2021-08-10,45576.8888796456,46266.4131596733,46691.085535445,44670.5334484807
BTC,2021-08-11,45793.3189343198,45605.0654443912,46767.0237621631,45400.215065781
BTC,2021-08-12,44078.7606726794,45546.1601668799,46233.8240050265,43821.6921699826
BTC,2021-08-13,47654.7290217295,44433.8802275499,47861.0319798116,44264.6970854306
BTC,2021-08-14,47004.3574605738,47810.373711218,48126.4737679077,46063.8021965042
BTC,2021-08-15,47144.8425669765,47099.469780029,47370.906853315,45619.5995496045
BTC,2021-08-16,46181.7308236455,47004.0476475965,48048.7447807305,45694.8017735226
BTC,2021-08-17,44887.242787396,45930.4161504307,47137.3892633884,44460.2205650161
BTC,2021-08-18,44811.6341259938,44696.559965602,45986.5841956136,44346.4859192262
BTC,2021-08-19,46395.7966955439,44750.8438836534,46855.5793668165,43990.9222749075
BTC,2021-08-20,49061.8477206986,46749.9647301727,49333.9386223107,46631.1401939445
BTC,2021-08-21,49270.1971888247,49329.9573645022,49765.0610131178,48356.7684995381
BTC,2021-08-22,48971.6118950591,48876.6053738816,49494.3934362855,48128.584115844
BTC,2021-08-23,49593.0819585242,49273.2378468976,50495.9457946866,49055.2912710206
BTC,2021-08-24,48190.9520532483,49518.2209594015,49863.6768192865,47789.1243136887
BTC,2021-08-25,48907.532780895,47707.4689383158,49274.3458809139,47151.9298228319
BTC,2021-08-26,47329.1497202528,48999.5993136457,49362.4504776497,46359.7897166171
BTC,2021-08-27,49033.3253960668,46871.6267284984,49163.6095388299,46399.5148638657
BTC,2021-08-28,48768.1900865186,49092.8593596423,49306.8569618662,48391.9833719204
BTC,2021-08-29,49184.2085094963,48921.3225140961,49640.8632653378,47834.3631384004
BTC,2021-08-30,47663.0225010837,48789.8381087639,48896.1759043377,47477.2170618528
BTC,2021-08-31,46919.5115547238,47003.4863104843,48260.5650133525,46725.7704095318
BTC,2021-09-01,48487.0111894478,47125.1719154492,48917.5987465419,46560.5082876112
BTC,2021-09-02,49725.5321344857,48834.3635916847,50344.6646592301,48619.4696167725
BTC,2021-09-03,49709.6119943395,49274.7841145829,51016.0270109097,48364.226963131
BTC,2021-09-04,49999.5555785934,50012.4415556571,50558.7335149369,49429.5691514111
BTC,2021-09-05,51693.8093980837,49945.3365681188,51827.3194883346,49515.5418795824
BTC,2021-09-06,52506.6856474836,51764.1553017173,52647.5518664608,51026.8210097884
BTC,2021-09-07,46897.6014767488,52697.6165661109,52944.05325373,43208.7573550318
BTC,2021-09-08,46769.3143912238,46890.9375292949,47386.8044471616,44491.8278011923
BTC,2021-09-09,46404.3644810189,46089.0083597548,47290.5250040418,45596.9607530836
BTC,2021-09-10,44720.7555501364,46415.0745822365,47048.8630277499,44448.7446660443
BTC,2021-09-11,45253.1306247943,44872.472927879,46005.6721288828,44759.7233472727
BTC,2021-09-12,45510.5632493806,45199.8198747557,46272.5314500259,44790.3814817154
BTC,2021-09-13,45097.7972175205,46048.6777079523,46292.2734327087,43480.398886449
BTC,2021-09-14,47039.9499311245,44958.7379366389,47213.2455271084,44681.0099417294
BTC,2021-09-15,48125.1187838539,47128.0935638429,48458.2474723722,46726.3931810416
BTC,2021-09-16,47648.5019876625,48150.2571151228,48520.8120988275,47111.4903850864
BTC,2021-09-17,47305.8053910167,47762.0924793653,48165.281945098,46777.3351077531
BTC,2021-09-18,48020.7563261237,47301.644675398,48810.2730530401,47113.9231196746
BTC,2021-09-19,47128.9351774728,48311.5937741036,48380.7964321798,47063.0699214833
BTC,2021-09-20,43831.2147681773,47252.640056679,47344.2252519991,42537.2547629614
BTC,2021-09-21,41139.2628512418,43026.2366608575,43575.7663972745,39645.8971008059
BTC,2021-09-22,43478.4711118564,40714.0155779447,44003.7477571839,40620.3981544104
BTC,2021-09-23,44755.5719298924,43590.2904395666,44943.023584141,43108.1088786758
